type,name,region,lat,lon,capacity
SUBMARINE,SEA-ME-WE-4,Asia-Pacific,13.0,80.0,1280000
SUBMARINE,FLAG-Cable,Europe,51.5,0.1,800000
SUBMARINE,TAT-14,North America,40.7,-74.0,800000
SUBMARINE,SEACOM,Africa,-26.0,28.0,1280000
SUBMARINE,SAm-1,South America,-23.5,-46.6,500000
SUBMARINE,Southern-Cross,Oceania,-33.8,151.2,700000
SUBMARINE,APCN-2,Asia-Pacific,22.3,114.2,900000
SUBMARINE,MAREA,Europe,43.3,-8.4,1000000
DATACENTER,AWS-us-east,North America,39.0,-77.0,999999
DATACENTER,AWS-eu-frankfurt,Europe,50.1,8.6,999999
DATACENTER,Google-asia-tokyo,Asia-Pacific,35.6,139.6,999999
DATACENTER,Azure-brazil,South America,-23.5,-46.6,999999
DATACENTER,AWS-af-capetown,Africa,-33.9,18.4,999999
DATACENTER,AWS-ap-sydney,Oceania,-33.8,151.2,999999
DATACENTER,Google-london,Europe,51.5,-0.1,999999
DATACENTER,Azure-mumbai,Asia-Pacific,19.0,72.8,999999
SATELLITE,Starlink-NA,North America,0.0,0.0,500000
SATELLITE,Starlink-EU,Europe,0.0,0.0,500000
SATELLITE,Intelsat-Asia,Asia-Pacific,0.0,0.0,250000
SATELLITE,SES-Africa,Africa,0.0,0.0,200000
EDGE,SEA-ME-WE-4,AWS-eu-frankfurt,640000,120,0.03
EDGE,SEA-ME-WE-4,Google-asia-tokyo,640000,60,0.03
EDGE,FLAG-Cable,AWS-us-east,400000,80,0.02
EDGE,FLAG-Cable,AWS-eu-frankfurt,400000,20,0.02
EDGE,TAT-14,AWS-us-east,400000,70,0.02
EDGE,TAT-14,AWS-eu-frankfurt,400000,75,0.02
EDGE,SEACOM,AWS-af-capetown,640000,50,0.04
EDGE,SAm-1,Azure-brazil,250000,30,0.05
EDGE,Southern-Cross,AWS-ap-sydney,350000,20,0.03
EDGE,APCN-2,Google-asia-tokyo,450000,25,0.03
EDGE,MAREA,Google-london,500000,30,0.02
EDGE,Google-london,AWS-eu-frankfurt,500000,10,0.01
EDGE,Azure-mumbai,Google-asia-tokyo,450000,40,0.03
EDGE,Azure-mumbai,AWS-eu-frankfurt,350000,95,0.04
EDGE,Starlink-NA,AWS-us-east,250000,600,0.07
EDGE,Starlink-EU,AWS-eu-frankfurt,250000,600,0.07
EDGE,Intelsat-Asia,Google-asia-tokyo,150000,600,0.09
EDGE,SES-Africa,AWS-af-capetown,100000,600,0.10

